From,To,Resources,Network_type,tc_min,tc_max
HU,HR,H2,H2_RETROFITTED,0.0,2.041062802
HU,RO,H2,H2_RETROFITTED,0.0,2.01489533
HU,RS,H2,H2_RETROFITTED,0.0,6.437198068
HU,SI,H2,H2_RETROFITTED,0.0,0.0
HU,SK,H2,H2_RETROFITTED,0.0,3.375603865
IE,FR,H2,H2_SUBSEA_RETRO,0.0,0.0
IE,GB,H2,H2_SUBSEA_RETRO,0.0,10.12419485
IT,AL,H2,H2_SUBSEA_RETRO,0.0,12.74617552
IT,AT,H2,H2_RETROFITTED,0.0,30.72061192
IT,CH,H2,H2_RETROFITTED,0.0,16.66867955
IT,FR,H2,H2_RETROFITTED,0.0,0.0
IT,GR,H2,H2_SUBSEA_RETRO,0.0,12.92673108
IT,HR,H2,H2_SUBSEA_RETRO,0.0,0.0
IT,ME,H2,H2_SUBSEA_RETRO,0.0,0.0
IT,SI,H2,H2_RETROFITTED,0.0,0.732689211
LT,LV,H2,H2_RETROFITTED,0.0,2.355072464
LT,PL,H2,H2_RETROFITTED,0.0,1.517713366
LT,SE,H2,H2_SUBSEA_RETRO,0.0,0.0
LU,BE,H2,H2_RETROFITTED,0.0,1.282206119
LU,DE,H2,H2_RETROFITTED,0.0,0.628019324
LU,FR,H2,H2_RETROFITTED,0.0,0.0
LV,EE,H2,H2_RETROFITTED,0.0,4.31763285
LV,LT,H2,H2_RETROFITTED,0.0,2.355072464
LV,SE,H2,H2_SUBSEA_RETRO,0.0,0.0
